time,fabrikkanal_q_m3s
2026-01-03T18:15:00,8.076
2026-01-03T18:30:00,7.93
2026-01-03T18:45:00,7.934
2026-01-03T19:00:00,7.935
2026-01-03T19:15:00,7.907
2026-01-03T19:30:00,7.849
2026-01-03T19:45:00,7.642
2026-01-03T20:00:00,7.503
2026-01-03T20:15:00,7.467
2026-01-03T20:30:00,7.487
2026-01-03T20:45:00,7.342
2026-01-03T21:00:00,7.058
2026-01-03T21:15:00,7.029
2026-01-03T21:30:00,7.124
2026-01-03T21:45:00,7.096
2026-01-03T22:00:00,7.143
2026-01-03T22:15:00,7.094
2026-01-03T22:30:00,7.08
2026-01-03T22:45:00,7.006
2026-01-03T23:00:00,6.758
2026-01-03T23:15:00,6.666
2026-01-03T23:30:00,6.701
2026-01-03T23:45:00,6.71
2026-01-04T00:00:00,6.668
2026-01-04T00:15:00,6.684
2026-01-04T00:30:00,6.688
2026-01-04T00:45:00,6.592
2026-01-04T01:00:00,6.599
2026-01-04T01:15:00,6.578
2026-01-04T01:30:00,6.597
2026-01-04T01:45:00,6.581
2026-01-04T02:00:00,6.496
2026-01-04T02:15:00,6.043
2026-01-04T02:30:00,5.738
2026-01-04T02:45:00,5.602
2026-01-04T03:00:00,5.436
2026-01-04T03:15:00,5.365
2026-01-04T03:30:00,5.383
2026-01-04T03:45:00,5.358
2026-01-04T04:00:00,5.409
2026-01-04T04:15:00,5.29
2026-01-04T04:30:00,5.343
2026-01-04T04:45:00,5.231
2026-01-04T05:00:00,5.232
2026-01-04T05:15:00,5.237
2026-01-04T05:30:00,5.23
2026-01-04T05:45:00,5.25
2026-01-04T06:00:00,5.233
2026-01-04T06:15:00,5.307
2026-01-04T06:30:00,5.248
2026-01-04T06:45:00,5.287
2026-01-04T07:00:00,5.478
2026-01-04T07:15:00,6.247
2026-01-04T07:30:00,7.268
2026-01-04T07:45:00,7.596
2026-01-04T08:00:00,7.555
2026-01-04T08:15:00,7.647
2026-01-04T08:30:00,7.609
2026-01-04T08:45:00,7.615
2026-01-04T09:00:00,7.674
2026-01-04T09:15:00,7.672
2026-01-04T09:30:00,7.688
2026-01-04T09:45:00,7.688
2026-01-04T10:00:00,7.691
2026-01-04T10:15:00,7.694
2026-01-04T10:30:00,7.672
2026-01-04T10:45:00,7.684
2026-01-04T11:00:00,7.625
2026-01-04T11:15:00,7.7
2026-01-04T11:30:00,7.705
2026-01-04T11:45:00,7.738
2026-01-04T12:00:00,7.669
2026-01-04T12:15:00,7.675
2026-01-04T12:30:00,7.469
2026-01-04T12:45:00,7.384
2026-01-04T13:00:00,7.417
2026-01-04T13:15:00,7.423
2026-01-04T13:30:00,7.444
2026-01-04T13:45:00,7.388
2026-01-04T14:00:00,7.383
2026-01-04T14:15:00,7.416
2026-01-04T14:30:00,7.404
2026-01-04T14:45:00,7.419
2026-01-04T15:00:00,7.379
2026-01-04T15:15:00,7.226
2026-01-04T15:30:00,6.904
2026-01-04T15:45:00,6.612
2026-01-04T16:00:00,6.618
2026-01-04T16:15:00,6.642
2026-01-04T16:30:00,6.613
2026-01-04T16:45:00,6.572
2026-01-04T17:00:00,6.57
2026-01-04T17:15:00,6.303
2026-01-04T17:30:00,6.073
2026-01-04T17:45:00,6.107
2026-01-04T18:00:00,6.049
2026-01-04T18:15:00,5.962
2026-01-04T18:30:00,5.987
2026-01-04T18:45:00,5.966
2026-01-04T19:00:00,5.998
2026-01-04T19:15:00,5.893
2026-01-04T19:30:00,5.885
2026-01-04T19:45:00,5.878
2026-01-04T20:00:00,5.909
2026-01-04T20:15:00,5.903
2026-01-04T20:30:00,5.906
2026-01-04T20:45:00,5.883
2026-01-04T21:00:00,5.879
2026-01-04T21:15:00,5.81
2026-01-04T21:30:00,5.855
2026-01-04T21:45:00,5.794
2026-01-04T22:00:00,5.759
2026-01-04T22:15:00,5.786
2026-01-04T22:30:00,5.755
2026-01-04T22:45:00,5.758
2026-01-04T23:00:00,5.816
2026-01-04T23:15:00,5.722
2026-01-04T23:30:00,5.736
2026-01-04T23:45:00,5.733
2026-01-05T00:00:00,5.72
2026-01-05T00:15:00,5.747
2026-01-05T00:30:00,5.72
2026-01-05T00:45:00,5.703
2026-01-05T01:00:00,5.711
2026-01-05T01:15:00,5.718
2026-01-05T01:30:00,5.704
2026-01-05T01:45:00,5.649
2026-01-05T02:00:00,5.695
2026-01-05T02:15:00,5.69
2026-01-05T02:30:00,5.69
2026-01-05T02:45:00,5.69
2026-01-05T03:00:00,5.69
2026-01-05T03:15:00,5.704
2026-01-05T03:30:00,5.692
2026-01-05T03:45:00,5.717
2026-01-05T04:00:00,5.693
2026-01-05T04:15:00,5.701
2026-01-05T04:30:00,5.699
2026-01-05T04:45:00,5.645
2026-01-05T05:00:00,5.663
2026-01-05T05:15:00,5.663
2026-01-05T05:30:00,5.66
2026-01-05T05:45:00,5.651
2026-01-05T06:00:00,5.64
2026-01-05T06:15:00,5.663
2026-01-05T06:30:00,5.663
2026-01-05T06:45:00,5.663
2026-01-05T07:00:00,5.663
2026-01-05T07:15:00,5.663
2026-01-05T07:30:00,5.687
2026-01-05T07:45:00,5.66
2026-01-05T08:00:00,5.715
2026-01-05T08:15:00,5.716
2026-01-05T08:30:00,5.716
2026-01-05T08:45:00,5.705
2026-01-05T09:00:00,5.654
2026-01-05T09:15:00,5.681
2026-01-05T09:30:00,5.658
2026-01-05T09:45:00,5.695
2026-01-05T10:00:00,5.688
2026-01-05T10:15:00,5.682
2026-01-05T10:30:00,5.698
2026-01-05T10:45:00,5.724
2026-01-05T11:00:00,5.672
2026-01-05T11:15:00,5.717
2026-01-05T11:30:00,5.727
2026-01-05T11:45:00,5.697
2026-01-05T12:00:00,5.723
2026-01-05T12:15:00,5.729
2026-01-05T12:30:00,5.777
2026-01-05T12:45:00,5.773
2026-01-05T13:00:00,5.75
2026-01-05T13:15:00,5.767
2026-01-05T13:30:00,5.771
2026-01-05T13:45:00,5.739
2026-01-05T14:00:00,5.719
2026-01-05T14:15:00,5.643
2026-01-05T14:30:00,5.703
2026-01-05T14:45:00,5.633
2026-01-05T15:00:00,5.633
2026-01-05T15:15:00,5.585
2026-01-05T15:30:00,5.522
2026-01-05T15:45:00,5.55
2026-01-05T16:00:00,5.413
2026-01-05T16:15:00,5.442
2026-01-05T16:30:00,5.424
2026-01-05T16:45:00,5.421
2026-01-05T17:00:00,5.375
2026-01-05T17:15:00,5.342
2026-01-05T17:30:00,5.364
2026-01-05T17:45:00,5.456
2026-01-05T18:00:00,5.477
2026-01-05T18:15:00,5.495
2026-01-05T18:30:00,5.569
2026-01-05T18:45:00,5.672
2026-01-05T19:00:00,5.67
2026-01-05T19:15:00,5.642
2026-01-05T19:30:00,5.604
2026-01-05T19:45:00,5.601
2026-01-05T20:00:00,5.701
2026-01-05T20:15:00,5.754
2026-01-05T20:30:00,5.736
2026-01-05T20:45:00,5.732
2026-01-05T21:00:00,5.735
2026-01-05T21:15:00,5.706
2026-01-05T21:30:00,5.701
2026-01-05T21:45:00,5.717
2026-01-05T22:00:00,5.707
2026-01-05T22:15:00,5.703
2026-01-05T22:30:00,5.683
2026-01-05T22:45:00,5.636
2026-01-05T23:00:00,5.433
2026-01-05T23:15:00,5.088
2026-01-05T23:30:00,5.043
2026-01-05T23:45:00,5.066
2026-01-06T00:00:00,5.049
2026-01-06T00:15:00,4.91
2026-01-06T00:30:00,4.934
2026-01-06T00:45:00,4.832
2026-01-06T01:00:00,4.847
2026-01-06T01:15:00,4.807
2026-01-06T01:30:00,4.783
2026-01-06T01:45:00,4.781
2026-01-06T02:00:00,4.8
2026-01-06T02:15:00,4.802
2026-01-06T02:30:00,4.821
2026-01-06T02:45:00,4.784
2026-01-06T03:00:00,4.82
2026-01-06T03:15:00,4.826
2026-01-06T03:30:00,4.822
2026-01-06T03:45:00,4.821
2026-01-06T04:00:00,4.83
2026-01-06T04:15:00,4.821
2026-01-06T04:30:00,4.819
2026-01-06T04:45:00,4.819
2026-01-06T05:00:00,4.819
2026-01-06T05:15:00,4.81
2026-01-06T05:30:00,4.811
2026-01-06T05:45:00,4.81
